,Unnamed: 0,Advanced Economies
0,,
1,1995.0,99.12812
2,1996.0,98.1995
3,1997.0,100.8129
4,1998.0,104.9389
5,1999.0,106.4751
6,2000.0,109.4721
7,2001.0,110.4837
8,2002.0,110.6698
9,2003.0,109.5823
10,2004.0,108.6364
11,2005.0,107.173
12,2006.0,106.0636
13,2007.0,103.7636
14,2008.0,100.7542
15,2009.0,102.1555
16,2010.0,100.0038
17,2011.0,98.43336
18,2012.0,98.4479
19,2013.0,96.66619
20,2014.0,97.25668
21,2015.0,99.15887
22,2016.0,101.3101
23,2017.0,100.8646
24,2018.0,100.6788
25,2019.0,102.2733
26,2020.0,103.0471
27,2021.0,101.4849
28,2022.0,105.6305
29,2023.0,106.0993
30,2024.0,107.2394
